,Flavour,Calories,Total Fat (g),Trans Fat (g),Carbohydrates (g),Sugars (g),Protein (g),Sugar Alcohol (g)
0,Bananas Foster,160,8.0,0.2,20,16,2.0,
1,Baseball Nut,160,9.0,0.2,19,13,3.0,
2,Beavertails Pastry,170,9.0,0.3,21,15,3.0,
3,Blackberry Frozen Yogurt,120,4.0,0.1,17,16,3.0,
4,Blue Raspberry Sherbet,130,2.0,0.1,26,20,2.0,
5,Blueberry Cheesecake,150,8.0,0.3,18,14,3.0,
6,Brownie Sundae(No Sugar Added),120,5.0,0.1,21,4,3.0,11.0
7,Caramel Praline Cheesecake,170,8.0,0.2,21,17,3.0,
8,NSA Caramel Turtle Truffle,200,8.0,0.2,38,7,5.0,24.0
9,Cherries Jubilee,220,11.0,0.4,26,19,4.0,
10,Chocoholic’s Resolution,190,11.0,0.2,22,17,3.0,
11,Chocolate,230,13.0,0.4,25,18,5.0,
12,Chocolate Chip,240,15.0,0.5,23,18,5.0,
13,Chocolate Chip Cookie Dough,280,15.0,0.5,31,23,5.0,
14,Chocolate Fudge,150,9.0,0.3,17,12,3.0,
15,Chocolate Hazelnut Truffle,280,17.0,0.4,29,20,5.0,
16,Chocolate Mousse Royale,180,11.0,0.2,18,13,3.0,
17,Citrus Twist Ice,100,0.0,0.0,25,18,0.0,
18,Cookies ‘n Cake,190,10.0,0.2,21,16,3.0,
19,Cookies ‘n Cream,270,17.0,0.4,25,18,5.0,
20,Cotton Candy,240,12.0,0.4,31,20,4.0,
21,Easter Egg Hunt,180,11.0,0.4,21,17,2.0,
22,French Vanilla,180,10.0,0.3,16,16,3.0,
23,Fudge Brownie,180,12.0,0.3,18,13,3.0,
24,German Chocolate Cake,190,10.0,0.2,21,16,4.0,
25,Gold Medal Ribbon,240,12.0,0.4,30,23,4.0,
26,Green Tea,140,9.0,0.3,13,10,3.0,
27,Icing on the Cake,320,18.0,0.4,36,28,4.0,
28,Jamoca Almond Fudge,260,15.0,0.4,28,20,5.0,
29,Love Potion #31,260,14.0,0.4,29,24,4.0,
30,Lunar Cheesecake,180,11.0,0.4,18,13,3.0,
31,Made with Snickers,170,9.0,0.3,21,16,3.0,
32,Mango Mania,130,6.0,0.2,17,14,2.0,
33,Mango Sorbet,70,0.0,0.0,16,12,0.0,
34,Mango Tango,230,10.0,0.4,29,24,4.0,
35,Maple Walnut,260,17.0,0.4,22,17,5.0,
36,Maui Brownie Madness,230,11.0,0.2,30,22,6.0,
37,Mint Chocolate Chip,240,15.0,0.5,23,18,5.0,
38,Mom’s Makin Cookies,190,9.0,0.2,24,18,2.0,
39,Nutty Coconut,280,19.0,0.4,23,17,6.0,
40,Old Fashioned Butter Pecan,260,18.0,0.4,20,16,5.0,
41,Peanut Butter ‘n Banana,180,12.0,0.3,15,11,4.0,
42,Peanut Butter ‘n Chocolate,290,20.0,0.4,24,17,7.0,
43,Peanut Butter ‘n Jelly,190,12.0,0.2,16,12,4.0,
44,Perils of Praline,160,6.0,0.2,21,20,3.0,
45,NSA Pineapple Coconut,160,6.0,0.2,30,8,5.0,14.0
46,Pink Bubble Gum,150,7.0,0.3,20,17,3.0,
47,Pistachio Almond,270,18.0,0.5,21,15,7.0,
48,Praline ‘n Cream,270,14.0,0.4,32,26,4.0,
49,Pumpkin Cheesecake,160,7.0,0.3,21,17,3.0,
50,Rainbow Sherbet,130,2.0,0.1,27,20,1.0,
51,Raspberry Cheese Louise,220,9.0,0.3,30,24,5.0,
52,Red Velvet,160,9.0,0.3,18,15,3.0,
53,Reese® NHL® Power Play,330,21.0,0.4,30,23,8.0,
54,Reese Peanut Butter Cup,180,11.0,0.3,17,14,4.0,
55,Rocky Road,250,14.0,0.4,29,20,5.0,
56,Rum Raisin,230,11.0,0.4,30,25,4.0,
57,Salty Caramel,160,8.0,0.3,18,15,3.0,
58,Splish Splash,70,0.5,0.0,16,12,0.5,
59,Strawberry Cheesecake,250,13.0,0.4,28,22,4.0,
60,Strawberry Sorbet,70,0.0,0.0,17,13,0.1,
61,Trio De Janeiro,90,1.5,0.0,17,13,1.0,
62,Vanilla,220,14.0,0.5,20,16,5.0,
63,Vanilla Pomegranate Parfait Frozen Yogurt,140,5.0,0.1,20,14,3.0,
64,NF Vanilla Yogurt,130,0.4,0.0,25,20,6.0,
65,Very Berry Strawberry,200,10.0,0.4,24,21,4.0,
66,Watermelon Splash,120,0.5,0.0,27,20,0.1,
67,Wild ‘n Reckless,80,1.5,0.0,16,12,1.0,
68,Winter White Chocolate,160,8.0,0.2,20,16,2.0,
69,World Class Chocolate,260,60.0,0.4,25,18,5.0,
